movie_title,movie_id,metascore,userscore,runtime,whole_cast_meta,principle_cast_meta,supporting_cast_meta,director_meta,writer_meta,producer_meta,principle_cast_user,supporting_cast_user,writers_user,whole_cast_user,director_user,producer_user,rls_season,rls_time_of_month,mpaa,genre,language,production_companies
Boyhood,15327,100,7.6,165.0,60.9642089093701997,56.1178743961352657,60.1904761904761905,56.8500000000000000,75.3232323232323232,62.3484984984984985,7.070959595959596,6.48779761904762,7.694949494949495,6.651428571428572,7.258333333333333,6.896703767170954,Summer,Middle,R,Drama,"English, Spanish",Detour Filmproduction
Vertigo,15330,100,8.8,128.0,76.1836734693877551,76.5646258503401361,79.7500000000000000,84.0000000000000000,75.8333333333333334,83.2500000000000000,8.204,8.55,8.383333333333333,8.294,8.554545454545455,8.625,Spring,End,PG,"Mystery,                                          Thriller,                                          Romance",English,Universal Pictures
Notorious,15332,100,8.0,101.0,86.5000000000000000,85.2000000000000000,93.3333333333333333,84.0000000000000000,78.8125000000000000,78.0000000000000000,8.25,8.55,8.216666666666667,8.285,8.399999999999999,8.5,Summer,Beginning,Approved,"Drama,                                          Thriller,                                          Romance,                                          Film-Noir","English, French, Portuguese",Vanguard Films
Moonlight,15335,99,7.2,111.0,59.6195932539682540,62.1565040650406504,59.1729166666666667,63.0000000000000000,63.0000000000000000,68.9034782608695652,7.184375000000001,6.993014277389277,6.4,7.023002219755827,6.4,6.687326086956522,Fall,End,NR,Drama,English,Plan B Entertainment
Touch of Evil,15336,99,8.4,95.0,83.7083333333333333,87.1666666666666667,83.5000000000000000,89.6666666666666667,91.5000000000000000,88.0000000000000000,8.3125,8.45,8.325,8.3625,8.3,8.350000000000001,Winter,Beginning,PG13,"Drama,                                          Thriller,                                          Crime,                                          Film-Noir","English, Spanish",Universal International Pictures (UI)
Pan's Labyrinth,15341,98,8.7,118.0,65.3000000000000000,74.6666666666666667,64.3888888888888889,70.4500000000000000,74.0000000000000000,60.5500000000000000,7.233333333333333,7.38,7.7125,7.2250000000000005,7.859999999999999,7.43125,Winter,End,R,"Drama,                                          Mystery,                                          Thriller,                                          Fantasy,                                          War",Spanish,Tequila Gang
North by Northwest,15343,98,8.2,136.0,85.4208333333333333,82.7833333333333333,86.6250000000000000,85.0666666666666667,80.6666666666666667,85.1111111111111111,7.988888888888888,8.825000000000001,8.066666666666666,8.197916666666666,8.575000000000001,8.644444444444446,Summer,Beginning,G,"Action,                                          Adventure,                                          Mystery,                                          Thriller",English,Metro-Goldwyn-Mayer (MGM)
Some Like It Hot,15344,98,8.3,121.0,86.8181818181818182,80.0833333333333333,92.3333333333333333,81.7500000000000000,79.4285714285714286,84.0000000000000000,8.1,8.6,8.0,8.457142857142857,8.0,7.6,Spring,End,Approved,"Comedy,                                          Romance",English,"Mirisch Corporation, The"
Psycho,15355,97,9.1,109.0,84.4848484848484848,84.8750000000000000,81.3750000000000000,85.8750000000000000,80.6666666666666667,86.4000000000000000,8.32,9.266666666666667,8.066666666666666,8.65,8.546153846153846,8.6,Summer,Beginning,PG,"Mystery,                                          Thriller,                                          Horror",English,Shamley Productions
Gone with the Wind,15358,97,8.5,238.0,79.0000000000000000,78.5000000000000000,86.0000000000000000,86.5000000000000000,80.6666666666666667,84.0000000000000000,8.25,7.0,8.0,7.833333333333333,5.3,8.4,Winter,Middle,PG,"Drama,                                          History,                                          Romance,                                          War",English,Metro-Goldwyn-Mayer (MGM)
